Client Name,Position,Status,Vertical,Sub Vertical,Functional Expertise,Physical Address,Type,Min High Pressure Phone Sales Experience  (Months),Min Experience in selling In specified vertical (Months),FFM,License,Health Sherpa,TLD Experience,States,Required states,Avg  Age of current employees (years),Office Hours,Weekly Base,Draw,Commission,Avg Weekly Income,Revenue,Job URL,Hot,Hire Rate,4 week attrition rate,Job Id,Candidate Description
Instacare Team,Remote ACA Health Insurance Agent,Open,Health,ACA,Sales,Remote,Remote,24,24,TRUE,TRUE,TRUE,TRUE,15,,38,"Monday to Friday, 10 AM - 7 PM EST",$0.00 ,$500.00 ,$22-$30 per deal depending on CPA,"$2,200 ",$75.00 ,https://worxwebsolutions.vincere-digital.io/job/remote-licensed-aca-health-insurance-agent-35930,0,1,1,35930,"An experienced ACA insurance sales agent with a provable track record of success in the industry. Has at least 6 months of direct ACA sales experience and a history of closing over 15 enrollments daily, maintaining a CPA under 80. Has the ability to take inbound poverty SEP leads and convert them at a rate exceeding 40%, is proficient in TLD and capable of entering deals into Health Sherpa. Has either a 215 or 240 license and has licensure in at least 10 states, and possesses an active 2024 FFM certification.
Has a fully equipped home office, including a computer, high-speed internet connection, and a quiet place to work."
Priority Benefits Group,Remote ACA Health Insurance Agent,Closed,Health,ACA,Sales,Remote,Remote,6,1,TRUE,TRUE,TRUE,TRUE,10,,32,10am-7pm M-F EST,$0.00 ,$0.00 ,"$20-$25 per deal, with potential earnings up to $30 per deal if CPA is great.","$2,200 ",$75.00 ,,0,1,1,,
Benefits Now,Remote Health Insurance Sales Agent,Open,Health,ACA,Sales,Remote,Remote,12,3,TRUE,TRUE,TRUE,TRUE,5,,38,8:00 AM to 5:00 PM CST,$0.00 ,$0.00 ,"$13 to $15 per policy sold, with no cap on your earnings.","$2,200 ",$125.00 ,https://worxwebsolutions.vincere-digital.io/job/remote-licensed-aca-health-insurance-agent-35651,0,1,1,35651,
Impact Marketing,Remote ACA Health Insurance Agent,Open,Health,Life,Sales,Remote,Remote,6,1,TRUE,TRUE,TRUE,TRUE,10,,38,"Monday through Friday, 9 AM - 6 PM EST",$0.00 ,$0.00 ,$12-$20 per deal with tiered bonus,"$1,500 ",$100.00 ,https://worxwebsolutions.vincere-digital.io/job/licensed-final-expense-agent-35931,0,1,1,35931,
Cove Agency,Remote ACA Health Insurance Agent,Closed,Health,ACA,Sales,Remote,Remote,24,12,TRUE,TRUE,TRUE,TRUE,20,"AZ, AL, AR, MS, MO, OH, OK, TX, TN, FL, GA, SC, NC, DE, IL, MI, VA, IN, KS, LA",42,8 am - 8 pm Sun - Sat (including some weekends during Open Enrollment) EST,$675.00 ,$0.00 ,$12 - $18 per sale ,"$2,200 ",$125.00 ,,0,1,1,,
Prince,Licensed ACA Health Insurance Agent,On-hold,Health,ACA,Sales,"500 Fairway Dr #106, Deerfield Beach, FL 33441, USA",In-Person,24,12,TRUE,TRUE,TRUE,FALSE,15,,38,"Monday to Friday, 9 AM - 7 PM EST",$720.00 ,$0.00 ,$12 to $18 per sale,"$2,200 ",$150.00 ,,0,1,1,,"Professional demeanor. Punctual. Committed to role responsibilities. Proficient with basic computer functions and software. Highly motivated. Strong goal orientation. Ability to work in a fast-paced environment. Mastered inbound calls. Turned prospects into sales with finesse. Specialized in selling ACA health insurance plans. Maintained a stellar conversion rate of 50% and above. Current 2024 FFM certification. Mastery in TLD and Health Sherpa platforms. Applicable state licensing. Dynamic, adaptable personality. Thirst for success in a fast-paced company. Exceptional phone sales skills."
Leverage,Licensed ACA Health Insurance Agent,On-hold,Health,ACA,Sales,"1000 NW 65th St Suite 305, Fort Lauderdale, FL 33309, USA",In-Person,6,3,TRUE,TRUE,TRUE,FALSE,10,,31,"Monday to Friday, 9 AM - 8 PM; Saturday, 10 AM - 4 PM EST",$800.00 ,$0.00 ,$12-15 per deal,"$1,800 ",$150.00 ,,0,1,1,,"Professional demeanor. Punctual. Committed to role responsibilities. Proficient with basic computer functions and software. Highly motivated. Strong goal orientation. Ability to work in a fast-paced environment. Drove sales of ACA health insurance products to varied clientele. Utilized comprehensive knowledge of ACA plans to deliver exceptional advice and service. Consistently met or exceeded sales targets. Contributed to team success. Demonstrated success in ACA sales. Current licensing and readiness for 2024 FFM. Profound understanding of ACA marketplace and insurance products. Licensed in 10 or more states, showing extensive expertise."
Leverage,"
Limited Med Health Insureance Agent",On-hold,Health,U65,Sales,"1000 NW 65th St Suite 305, Fort Lauderdale, FL 33309, USA",In-Person,6,3,TRUE,TRUE,FALSE,FALSE,10,,31,"Monday to Friday, 9 AM - 8 PM; Saturday, 10 AM - 4 PM EST",$800.00 ,$0.00 ,30-40% Core + 60-70% ancillary,"$1,400 ",$150.00 ,,0,1,1,,Professional demeanor. Punctual. Committed to role responsibilities. Proficient with basic computer functions and software. Highly motivated. Strong goal orientation. Ability to work in a fast-paced environment. Identified and addressed potential clients' health insurance needs with optimal products. Excelled in sales by effectively closing deals. Stayed informed about latest health insurance products and regulations. Met and surpassed set sales targets. Delivered unparalleled customer service. Ensured client satisfaction and loyalty. Proven sales performer. Zeal for achieving and exceeding targets. Outstanding communicator. Excellent interpersonal skills. Self-driven with solid work ethic. Thrived independently in dynamic setting. High school diploma or equivalent. Additional sales or insurance education/certification beneficial.
IPIT,Remote Licensed ACA Health Insurance Agent,Open,Health,ACA,Sales,Remote,Remote,6,0,TRUE,TRUE,FALSE,FALSE,3,"FL, GA, TX",42,"Monday to Friday, 9 am - 6 pm EST",$400.00 ,$0.00 ,"$25 per deal, $5 per family member, bonuses","$1,800 ",$75.00 ,https://worxwebsolutions.vincere-digital.io/job/remote-licensed-aca-health-insurance-agent-35601,0,1,1,35601,"An experienced ACA insurance sales agent with a provable track record of success in the industry. Has at least 6 months of direct ACA sales experience and a history of closing over 15 enrollments daily, maintaining a CPA under 80. Has the ability to take inbound poverty SEP leads and convert them at a rate exceeding 40%, is proficient in TLD and capable of entering deals into Health Sherpa. Has either a 215 or 240 license and has licensure in at least 3 states FL, GA, TX, and possesses an active 2024 FFM certification. Has a fully equipped home office, including a computer, high-speed internet connection, and a quiet place to work."
Insurance Pipeline,Health Insurance Sales Agent,Open,Health,ACA,Sales,"2817 E Oakland Park Blvd, Fort Lauderdale, FL 33306, USA",In-Person,6,0,TRUE,TRUE,TRUE,FALSE,15,,42,9-6 M-F (24 hours availability on the horizon via remote!) EST,$500.00 ,$0.00 ,$15-$20 per deal,"$2,000 ",$125.00 ,https://worxwebsolutions.vincere-digital.io/job/licensed-aca-health-insurance-agent-35610,0,1,1,35610,"An experienced ACA insurance sales agent with a provable track record of success in the industry. Has at least 6 months of direct ACA sales experience and a history of closing over 15 enrollments daily, maintaining a CPA under 80. Has the ability to take inbound poverty SEP leads and convert them at a rate exceeding 40%, is proficient in TLD and capable of entering deals into Health Sherpa. Has either a 215 or 240 license and has licensure in at least 15 states, and possesses an active 2024 FFM certification."
