Client name,Position,Status,Description
Remote ACA Health Insurance Agent,Health Caddies,Open,"Remote ACA Health Insurance Agent, Health Caddies, Health Caddies, Remote, Open, Health, ACA, Remote, 6.0 months high pressure sales experience, 1.0 months vertical sales experience, 1.0 years TLD experience, 15.0 states, None required states, 19-45 average age of employees, Monday to Friday, 9 AM - 5 PM EST office hours, None weekly base, None draw, $25 per deal commission, $1200-$4000 average weekly income, None slot price"
Remote ACA Health Insurance Agent,Priority,Open,"Remote ACA Health Insurance Agent, Priority, Priority, Remote, Open, Health, ACA, Remote, 6.0 months high pressure sales experience, 1.0 months vertical sales experience, 1.0 years TLD experience, 10.0 states, None required states, 19-45 average age of employees, 10am-7pm M-F EST office hours, None weekly base, None draw, $20-$25 per deal, with potential earnings up to $30 per deal if CPA is great. commission, $1200-$4000 average weekly income, None slot price"
Remote Health Insurance Sales Agent,Accucare Ins,On-hold,"Remote Health Insurance Sales Agent, Accucare Ins, Accucare Ins, Remote, On-hold, Health, ACA, Remote, 6.0 months high pressure sales experience, 1.0 months vertical sales experience, 1.0 years TLD experience, 5.0 states, None required states, 19-45 average age of employees, 8:00 AM to 5:00 PM CST office hours, 865.0 weekly base, None draw, $13 to $15 per policy sold, with no cap on your earnings. commission, $1200-$4000 average weekly income, None slot price"
Remote ACA Health Insurance Agent,Modern Source,Open,"Remote ACA Health Insurance Agent, Modern Source, Modern Source, Remote, Open, Health, ACA, Remote, 6.0 months high pressure sales experience, 1.0 months vertical sales experience, 1.0 years TLD experience, 10.0 states, None required states, 19-45 average age of employees, Monday through Friday, 9 AM - 6 PM EST office hours, None weekly base, None draw, $12-$20 per deal with tiered bonus commission, $1200-$4000 average weekly income, None slot price"
Remote ACA Health Insurance Agent,Cove Agency,Open,"Remote ACA Health Insurance Agent, Cove Agency, Cove Agency, Remote, Open, Health, ACA, Remote, 6.0 months high pressure sales experience, 1.0 months vertical sales experience, 1.0 years TLD experience, 20.0 states, AZ, AL, AR, MS, MO, OH, OK, TX, TN, FL, GA, SC, NC, DE, IL, MI, VA, IN, KS, LA required states, 19-45 average age of employees, 8 am - 8 pm Sun - Sat (including some weekends during Open Enrollment) EST office hours, 675.0 weekly base, None draw, $12 - $18 per sale  commission, $1200-$4000 average weekly income, None slot price"
Licensed ACA Health Insurance Agent,Prince,Open,"Licensed ACA Health Insurance Agent, Prince, Prince, 500 Fairway Dr #106, Deerfield Beach, FL 33441, USA, Open, Health, ACA, In-Person, 3.0 months high pressure sales experience, 0.0 months vertical sales experience, 0.0 years TLD experience, 15.0 states, ? required states, 19-45 average age of employees, Monday to Friday, 9 AM - 7 PM EST office hours, 720.0 weekly base, None draw, $12 to $18 per sale commission, $1200-$4000 average weekly income, None slot price"
Licensed Health Insurance Sales Agent,Leverage,Open,"Licensed Health Insurance Sales Agent, Leverage, Leverage, 1000 NW 65th St Suite 305, Fort Lauderdale, FL 33309, USA, Open, Health, ACA, In-Person, 3.0 months high pressure sales experience, 0.0 months vertical sales experience, 0.0 years TLD experience, 10.0 states, None required states, 19-45 average age of employees, Monday to Friday, 9 AM - 8 PM; Saturday, 10 AM - 4 PM EST office hours, 800.0 weekly base, None draw, $12-15 per deal commission, up to $5000 average weekly income, None slot price"
Customer Service Representative,Leverage,Open,"Customer Service Representative, Leverage, Leverage, 1000 NW 65th St Suite 305, Fort Lauderdale, FL 33309, USA, Open, Health, ACA, In-Person, 3.0 months high pressure sales experience, 0.0 months vertical sales experience, 0.0 years TLD experience, 10.0 states, None required states, 19-45 average age of employees, Monday to Friday, 9 AM - 8 PM; Saturday, 10 AM - 4 PM EST office hours, 800.0 weekly base, None draw, None commission, $1200-$4000 average weekly income, None slot price"
Remote Licensed ACA Health Insurance Agent,IPIT,Open,"Remote Licensed ACA Health Insurance Agent, IPIT, IPIT, Remote, Open, Health, ACA, Remote, 6.0 months high pressure sales experience, 1.0 months vertical sales experience, 0.0 years TLD experience, 3.0 states, FL, GA, TX required states, 19-45 average age of employees, Monday to Friday, 9 am - 6 pm EST office hours, 400.0 weekly base, None draw, $25 per deal, $5 per family member, bonuses commission, $1250 to $3000 average weekly income, None slot price"
Health Insurance Sales Agent,Insurance Pipeline,Open,"Health Insurance Sales Agent, Insurance Pipeline, Insurance Pipeline, 2817 E Oakland Park Blvd, Fort Lauderdale, FL 33306, USA, Open, Health, ACA, In-Person, 3.0 months high pressure sales experience, 0.0 months vertical sales experience, 0.0 years TLD experience, 15.0 states, None required states, 19-45 average age of employees, 9-6 M-F (24 hours availability on the horizon via remote!) EST office hours, 500.0 weekly base, None draw, $15-$20 per deal commission, $1200-$4000 average weekly income, None slot price"
Customer Service Representative,Lifetime Health Solutions,On-hold,"Customer Service Representative, Lifetime Health Solutions, Lifetime Health Solutions, 5499 N Federal Hwy f, Boca Raton, FL 33487, USA, On-hold, Health, ACA, In-Person, 3.0 months high pressure sales experience, 0.0 months vertical sales experience, 0.0 years TLD experience, 0.0 states, None required states, 19-35 average age of employees, 9am-6pm m-f EST office hours, 700.0 weekly base, None draw, None commission, $1200-$4000 average weekly income, None slot price"
Licensed ACA Health Insurance Agent,Lifetime Health Solutions,Open,"Licensed ACA Health Insurance Agent, Lifetime Health Solutions, Lifetime Health Solutions, 5499 N Federal Hwy f, Boca Raton, FL 33487, USA, Open, Health, ACA, In-Person, 6.0 months high pressure sales experience, 6.0 months vertical sales experience, 0.0 years TLD experience, 1.0 states, None required states, 19-35 average age of employees, 9am-6pm m-f EST office hours, 400.0 weekly base, None draw, None commission, $1,500-$4,000 average weekly income, None slot price"
Licensed ACA Health Insurance Agent,Synergy,Open,"Licensed ACA Health Insurance Agent, Synergy, Synergy, 350 Camino Gardens Blvd #201, Boca Raton, FL 33432, USA, Open, Health, ACA, In-Person, 3.0 months high pressure sales experience, 0.0 months vertical sales experience, 0.0 years TLD experience, 15.0 states, None required states, 19-45 average age of employees, 9 am - 5 pm m-f  EST office hours, 600.0 weekly base, None draw, None commission, $1500-$3000  average weekly income, None slot price"
Licensed ACA Health Insurance Agent,Fortis Health Options,Open,"Licensed ACA Health Insurance Agent, Fortis Health Options, Fortis Health Options, 350 Camino Gardens Blvd Suite 103, Boca Raton, FL 33432, USA, Open, Health, ACA, In-Person, 3.0 months high pressure sales experience, 0.0 months vertical sales experience, 0.0 years TLD experience, 15.0 states, None required states, 19-45 average age of employees, Monday to Friday, 9:00 AM - 6:00 PM EST office hours, 600.0 weekly base, None draw, $10-$25 per transaction commission, $1500-$3000 average weekly income, 200.0 slot price"
Health Insurance Sales Agent,Affordable Insurance Advisors,Open,"Health Insurance Sales Agent, Affordable Insurance Advisors, None, 23123 FL-7 350 B, Boca Raton, FL 33428, USA, Open, Health, Limited , In-Person, 3.0 months high pressure sales experience, 0.0 months vertical sales experience, None years TLD experience, None states, None required states, 19-45 average age of employees, Monday to Friday, 9 am - 6 pm EST office hours, None weekly base, 500.0 draw, None commission, up to $5000 average weekly income, None slot price"
Health Insurance Sales Agent,MAP Insurance,Open,"Health Insurance Sales Agent, MAP Insurance, None, 8000 N Federal Hwy, Boca Raton, FL 33487, USA, Open, Health, Limited , In-Person, 3.0 months high pressure sales experience, 2.0 months vertical sales experience, None years TLD experience, None states, None required states, 19-45 average age of employees, 10 am to 6 pm, Monday to Friday EST office hours, None weekly base, 800.0 draw, None commission, $1200-$4000 average weekly income, None slot price"
Health Insurance Sales Agent,Healthie LLC,Open,"Health Insurance Sales Agent, Healthie LLC, None, 7281 Lake Worth Rd, Lake Worth Beach, FL 33467, USA, Open, Health, Limited , In-Person, 3.0 months high pressure sales experience, 0.0 months vertical sales experience, None years TLD experience, None states, None required states, 19-45 average age of employees, Open Enrollment - 9 AM to 9 PM, Outside Open Enrollment - 9 AM to 5 PM EST office hours, 750.0 weekly base, 500.0 draw, $1,500 - $2,000 commission, $800-$3000 average weekly income, None slot price"
