id,Client Name,Position,Status,Vertical,Sub Vertical,Functional Expertise,Physical Address,Type,Min High Pressure Phone Sales Experience  (Months),Min Experience in selling In specified vertical (Months),FFM,License,Health Sherpa,TLD Experience,States,Required states,Avg  Age of current employees (years),Office Hours,Weekly Base,Draw,Commission,Avg Weekly Income,Revenue,Job URL,Hot,Hire Rate,4 week attrition rate,Zip,City,Description,Info,LatLon,Latitude,Longitude
0,Instacare Team,Remote ACA Health Insurance Agent,open,health,aca,sales,,remote,24,24,True,True,True,True,15.0,,38,"Monday to Friday, 10 AM - 7 PM EST",$0.00 ,$500.00 ,$22-$30 per deal depending on CPA,2200,$75.00 ,https://worxwebsolutions.vincere-digital.io/job/remote-licensed-aca-health-insurance-agent-35930,0,1,1,,,"Remote ACA Health Insurance Agent at Instacare Team, located at nan (). Status: open. Vertical: health, Sub Vertical: aca. Functional Expertise: sales. Type: remote. Min High Pressure Phone Sales Experience: 24 months, Min Experience in selling in specified vertical: 24 months. FFM: True, License: True, Health Sherpa: True. TLD Experience: True, States: 15.0, Required states: nan, Avg Age of current employees: 38 years, Office Hours: Monday to Friday, 10 AM - 7 PM EST. Weekly Base: $0.0 Draw: $500.0 Commission: $22-$30 per deal depending on CPA, Avg Weekly Income: 2200, Revenue: $75.00 . Job URL: https://worxwebsolutions.vincere-digital.io/job/remote-licensed-aca-health-insurance-agent-35930, Hot: 0, Hire Rate: 1, 4 week attrition rate: 1.","A suitable candidate for Remote ACA Health Insurance Agent at Instacare Team would likely have experience in health and aca verticals, with at least 24 months of high pressure phone sales experience and 24 months of experience in selling in the specified vertical. The role requires working in remote setting with office hours from Monday to Friday, 10 AM - 7 PM EST. Additional skills or certifications such as FFM, License, and Health Sherpa are preferred. The position is available in the following states: 15.0.","(None, None)",,
1,Priority Benefits Group,Remote ACA Health Insurance Agent,closed,health,aca,sales,,remote,6,1,True,True,True,True,10.0,,32,10am-7pm M-F EST,$0.00 ,$0.00 ,"$20-$25 per deal, with potential earnings up to $30 per deal if CPA is great.",2200,$75.00 ,,0,1,1,,,"Remote ACA Health Insurance Agent at Priority Benefits Group, located at nan (). Status: closed. Vertical: health, Sub Vertical: aca. Functional Expertise: sales. Type: remote. Min High Pressure Phone Sales Experience: 6 months, Min Experience in selling in specified vertical: 1 months. FFM: True, License: True, Health Sherpa: True. TLD Experience: True, States: 10.0, Required states: nan, Avg Age of current employees: 32 years, Office Hours: 10am-7pm M-F EST. Weekly Base: $0.0 Draw: $0.0 Commission: $20-$25 per deal, with potential earnings up to $30 per deal if CPA is great., Avg Weekly Income: 2200, Revenue: $75.00 . Job URL: nan, Hot: 0, Hire Rate: 1, 4 week attrition rate: 1.","A suitable candidate for Remote ACA Health Insurance Agent at Priority Benefits Group would likely have experience in health and aca verticals, with at least 6 months of high pressure phone sales experience and 1 months of experience in selling in the specified vertical. The role requires working in remote setting with office hours from 10am-7pm M-F EST. Additional skills or certifications such as FFM, License, and Health Sherpa are preferred. The position is available in the following states: 10.0.","(None, None)",,
2,Accucare Ins,Remote Health Insurance Sales Agent,closed,health,aca,sales,,remote,12,3,True,True,True,True,5.0,,38,8:00 AM to 5:00 PM CST,$0.00 ,$0.00 ,"$13 to $15 per policy sold, with no cap on your earnings.",2200,$125.00 ,,0,1,1,,,"Remote Health Insurance Sales Agent at Accucare Ins, located at nan (). Status: closed. Vertical: health, Sub Vertical: aca. Functional Expertise: sales. Type: remote. Min High Pressure Phone Sales Experience: 12 months, Min Experience in selling in specified vertical: 3 months. FFM: True, License: True, Health Sherpa: True. TLD Experience: True, States: 5.0, Required states: nan, Avg Age of current employees: 38 years, Office Hours: 8:00 AM to 5:00 PM CST. Weekly Base: $0.0 Draw: $0.0 Commission: $13 to $15 per policy sold, with no cap on your earnings., Avg Weekly Income: 2200, Revenue: $125.00 . Job URL: nan, Hot: 0, Hire Rate: 1, 4 week attrition rate: 1.","A suitable candidate for Remote Health Insurance Sales Agent at Accucare Ins would likely have experience in health and aca verticals, with at least 12 months of high pressure phone sales experience and 3 months of experience in selling in the specified vertical. The role requires working in remote setting with office hours from 8:00 AM to 5:00 PM CST. Additional skills or certifications such as FFM, License, and Health Sherpa are preferred. The position is available in the following states: 5.0.","(None, None)",,
3,Modern Source,Remote ACA Health Insurance Agent,closed,health,life,sales,,remote,6,1,True,True,True,True,10.0,,38,"Monday through Friday, 9 AM - 6 PM EST",$0.00 ,$0.00 ,$12-$20 per deal with tiered bonus,1500,$100.00 ,,0,1,1,,,"Remote ACA Health Insurance Agent at Modern Source, located at nan (). Status: closed. Vertical: health, Sub Vertical: life. Functional Expertise: sales. Type: remote. Min High Pressure Phone Sales Experience: 6 months, Min Experience in selling in specified vertical: 1 months. FFM: True, License: True, Health Sherpa: True. TLD Experience: True, States: 10.0, Required states: nan, Avg Age of current employees: 38 years, Office Hours: Monday through Friday, 9 AM - 6 PM EST. Weekly Base: $0.0 Draw: $0.0 Commission: $12-$20 per deal with tiered bonus, Avg Weekly Income: 1500, Revenue: $100.00 . Job URL: nan, Hot: 0, Hire Rate: 1, 4 week attrition rate: 1.","A suitable candidate for Remote ACA Health Insurance Agent at Modern Source would likely have experience in health and life verticals, with at least 6 months of high pressure phone sales experience and 1 months of experience in selling in the specified vertical. The role requires working in remote setting with office hours from Monday through Friday, 9 AM - 6 PM EST. Additional skills or certifications such as FFM, License, and Health Sherpa are preferred. The position is available in the following states: 10.0.","(None, None)",,
4,Cove Agency,Remote ACA Health Insurance Agent,closed,health,aca,sales,,remote,24,12,True,True,True,True,20.0,"AZ, AL, AR, MS, MO, OH, OK, TX, TN, FL, GA, SC, NC, DE, IL, MI, VA, IN, KS, LA",42,8 am - 8 pm Sun - Sat (including some weekends during Open Enrollment) EST,$675.00 ,$0.00 ,$12 - $18 per sale ,2200,$125.00 ,,0,1,1,,,"Remote ACA Health Insurance Agent at Cove Agency, located at nan (). Status: closed. Vertical: health, Sub Vertical: aca. Functional Expertise: sales. Type: remote. Min High Pressure Phone Sales Experience: 24 months, Min Experience in selling in specified vertical: 12 months. FFM: True, License: True, Health Sherpa: True. TLD Experience: True, States: 20.0, Required states: AZ, AL, AR, MS, MO, OH, OK, TX, TN, FL, GA, SC, NC, DE, IL, MI, VA, IN, KS, LA, Avg Age of current employees: 42 years, Office Hours: 8 am - 8 pm Sun - Sat (including some weekends during Open Enrollment) EST. Weekly Base: $675.0 Draw: $0.0 Commission: $12 - $18 per sal Avg Weekly Income: 2200, Revenue: $125.00 . Job URL: nan, Hot: 0, Hire Rate: 1, 4 week attrition rate: 1.","A suitable candidate for Remote ACA Health Insurance Agent at Cove Agency would likely have experience in health and aca verticals, with at least 24 months of high pressure phone sales experience and 12 months of experience in selling in the specified vertical. The role requires working in remote setting with office hours from 8 am - 8 pm Sun - Sat (including some weekends during Open Enrollment) EST. Additional skills or certifications such as FFM, License, and Health Sherpa are preferred. The position is available in the following states: 20.0.","(None, None)",,
5,Prince,Licensed ACA Health Insurance Agent,closed,health,aca,sales,"500 Fairway Dr #106, Deerfield Beach, FL 33441, USA",in_person,24,12,True,True,True,False,15.0,,38,"Monday to Friday, 9 AM - 7 PM EST",$720.00 ,$0.00 ,$12 to $18 per sale,2200,$150.00 ,,0,1,1,,Deerfield Beach,"Licensed ACA Health Insurance Agent at Prince, located at 500 Fairway Dr #106, Deerfield Beach, FL 33441, USA (). Status: closed. Vertical: health, Sub Vertical: aca. Functional Expertise: sales. Type: in_person. Min High Pressure Phone Sales Experience: 24 months, Min Experience in selling in specified vertical: 12 months. FFM: True, License: True, Health Sherpa: True. TLD Experience: False, States: 15.0, Required states: nan, Avg Age of current employees: 38 years, Office Hours: Monday to Friday, 9 AM - 7 PM EST. Weekly Base: $720.0 Draw: $0.0 Commission: $12 to $18 per sale, Avg Weekly Income: 2200, Revenue: $150.00 . Job URL: nan, Hot: 0, Hire Rate: 1, 4 week attrition rate: 1.","A suitable candidate for Licensed ACA Health Insurance Agent at Prince would likely have experience in health and aca verticals, with at least 24 months of high pressure phone sales experience and 12 months of experience in selling in the specified vertical. The role requires working in in_person setting with office hours from Monday to Friday, 9 AM - 7 PM EST. Additional skills or certifications such as FFM, License, and Health Sherpa are preferred. The position is available in the following states: 15.0.","(26.3245273, -80.1147222)",26.3245273,-80.1147222
6,Leverage,Licensed ACA Health Insurance Agent,on_hold,health,aca,sales,"1000 NW 65th St Suite 305, Fort Lauderdale, FL 33309, USA",in_person,6,3,True,True,True,False,10.0,,31,"Monday to Friday, 9 AM - 8 PM; Saturday, 10 AM - 4 PM EST",$800.00 ,$0.00 ,$12-15 per deal,1800,$150.00 ,,0,1,1,,Fort Lauderdale,"Licensed ACA Health Insurance Agent at Leverage, located at 1000 NW 65th St Suite 305, Fort Lauderdale, FL 33309, USA (). Status: on_hold. Vertical: health, Sub Vertical: aca. Functional Expertise: sales. Type: in_person. Min High Pressure Phone Sales Experience: 6 months, Min Experience in selling in specified vertical: 3 months. FFM: True, License: True, Health Sherpa: True. TLD Experience: False, States: 10.0, Required states: nan, Avg Age of current employees: 31 years, Office Hours: Monday to Friday, 9 AM - 8 PM; Saturday, 10 AM - 4 PM EST. Weekly Base: $800.0 Draw: $0.0 Commission: $12-15 per deal, Avg Weekly Income: 1800, Revenue: $150.00 . Job URL: nan, Hot: 0, Hire Rate: 1, 4 week attrition rate: 1.","A suitable candidate for Licensed ACA Health Insurance Agent at Leverage would likely have experience in health and aca verticals, with at least 6 months of high pressure phone sales experience and 3 months of experience in selling in the specified vertical. The role requires working in in_person setting with office hours from Monday to Friday, 9 AM - 8 PM; Saturday, 10 AM - 4 PM EST. Additional skills or certifications such as FFM, License, and Health Sherpa are preferred. The position is available in the following states: 10.0.","(26.2065026, -80.1573795)",26.2065026,-80.1573795
7,Leverage,"
Limited Med Health Insureance Agent",on_hold,health,u65,sales,"1000 NW 65th St Suite 305, Fort Lauderdale, FL 33309, USA",in_person,6,3,True,True,False,False,10.0,,31,"Monday to Friday, 9 AM - 8 PM; Saturday, 10 AM - 4 PM EST",$800.00 ,$0.00 ,,1400,$150.00 ,,0,1,1,,Fort Lauderdale,"Limited Med Health Insureance Agent at Leverage, located at 1000 NW 65th St Suite 305, Fort Lauderdale, FL 33309, USA (). Status: on_hold. Vertical: health, Sub Vertical: u65. Functional Expertise: sales. Type: in_person. Min High Pressure Phone Sales Experience: 6 months, Min Experience in selling in specified vertical: 3 months. FFM: True, License: True, Health Sherpa: False. TLD Experience: False, States: 10.0, Required states: nan, Avg Age of current employees: 31 years, Office Hours: Monday to Friday, 9 AM - 8 PM; Saturday, 10 AM - 4 PM EST. Weekly Base: $800.0 Draw: $0.0 Commission: nan, Avg Weekly Income: 1400, Revenue: $150.00 . Job URL: nan, Hot: 0, Hire Rate: 1, 4 week attrition rate: 1.","A suitable candidate for 
Limited Med Health Insureance Agent at Leverage would likely have experience in health and u65 verticals, with at least 6 months of high pressure phone sales experience and 3 months of experience in selling in the specified vertical. The role requires working in in_person setting with office hours from Monday to Friday, 9 AM - 8 PM; Saturday, 10 AM - 4 PM EST. Additional skills or certifications such as FFM, License, and Health Sherpa are preferred. The position is available in the following states: 10.0.","(26.2065026, -80.1573795)",26.2065026,-80.1573795
8,IPIT,Remote Licensed ACA Health Insurance Agent,open,health,aca,sales,,remote,6,0,True,True,False,False,3.0,"FL, GA, TX",42,"Monday to Friday, 9 am - 6 pm EST",$400.00 ,$0.00 ,"$25 per deal, $5 per family member, bonuses",1800,$75.00 ,https://worxwebsolutions.vincere-digital.io/job/remote-licensed-aca-health-insurance-agent-35601,0,1,1,,,"Remote Licensed ACA Health Insurance Agent at IPIT, located at nan (). Status: open. Vertical: health, Sub Vertical: aca. Functional Expertise: sales. Type: remote. Min High Pressure Phone Sales Experience: 6 months, Min Experience in selling in specified vertical: 0 months. FFM: True, License: True, Health Sherpa: False. TLD Experience: False, States: 3.0, Required states: FL, GA, TX, Avg Age of current employees: 42 years, Office Hours: Monday to Friday, 9 am - 6 pm EST. Weekly Base: $400.0 Draw: $0.0 Commission: $25 per deal, $5 per family member, bonuses, Avg Weekly Income: 1800, Revenue: $75.00 . Job URL: https://worxwebsolutions.vincere-digital.io/job/remote-licensed-aca-health-insurance-agent-35601, Hot: 0, Hire Rate: 1, 4 week attrition rate: 1.","A suitable candidate for Remote Licensed ACA Health Insurance Agent at IPIT would likely have experience in health and aca verticals, with at least 6 months of high pressure phone sales experience and 0 months of experience in selling in the specified vertical. The role requires working in remote setting with office hours from Monday to Friday, 9 am - 6 pm EST. Additional skills or certifications such as FFM, License, and Health Sherpa are preferred. The position is available in the following states: 3.0.","(None, None)",,
9,Insurance Pipeline,Health Insurance Sales Agent,open,health,aca,sales,"2817 E Oakland Park Blvd, Fort Lauderdale, FL 33306, USA",in_person,6,0,True,True,True,False,15.0,,42,9-6 M-F (24 hours availability on the horizon via remote!) EST,$500.00 ,$0.00 ,$15-$20 per deal,2000,$125.00 ,https://worxwebsolutions.vincere-digital.io/job/licensed-aca-health-insurance-agent-35610,0,1,1,,Fort Lauderdale,"Health Insurance Sales Agent at Insurance Pipeline, located at 2817 E Oakland Park Blvd, Fort Lauderdale, FL 33306, USA (). Status: open. Vertical: health, Sub Vertical: aca. Functional Expertise: sales. Type: in_person. Min High Pressure Phone Sales Experience: 6 months, Min Experience in selling in specified vertical: 0 months. FFM: True, License: True, Health Sherpa: True. TLD Experience: False, States: 15.0, Required states: nan, Avg Age of current employees: 42 years, Office Hours: 9-6 M-F (24 hours availability on the horizon via remote!) EST. Weekly Base: $500.0 Draw: $0.0 Commission: $15-$20 per deal, Avg Weekly Income: 2000, Revenue: $125.00 . Job URL: https://worxwebsolutions.vincere-digital.io/job/licensed-aca-health-insurance-agent-35610, Hot: 0, Hire Rate: 1, 4 week attrition rate: 1.","A suitable candidate for Health Insurance Sales Agent at Insurance Pipeline would likely have experience in health and aca verticals, with at least 6 months of high pressure phone sales experience and 0 months of experience in selling in the specified vertical. The role requires working in in_person setting with office hours from 9-6 M-F (24 hours availability on the horizon via remote!) EST. Additional skills or certifications such as FFM, License, and Health Sherpa are preferred. The position is available in the following states: 15.0.","(26.167324, -80.106589)",26.167324,-80.106589
10,Lifetime Health Solutions,Licensed ACA Health Insurance Agent,open,health,aca,sales,"5499 N Federal Hwy f, Boca Raton, FL 33487, USA",in_person,6,6,True,True,True,False,1.0,,28,9am-6pm m-f EST,$500.00 ,$0.00 ,,1800,$100.00 ,,1,1,1,,Boca Raton,"Licensed ACA Health Insurance Agent at Lifetime Health Solutions, located at 5499 N Federal Hwy f, Boca Raton, FL 33487, USA (). Status: open. Vertical: health, Sub Vertical: aca. Functional Expertise: sales. Type: in_person. Min High Pressure Phone Sales Experience: 6 months, Min Experience in selling in specified vertical: 6 months. FFM: True, License: True, Health Sherpa: True. TLD Experience: False, States: 1.0, Required states: nan, Avg Age of current employees: 28 years, Office Hours: 9am-6pm m-f EST. Weekly Base: $500.0 Draw: $0.0 Commission: nan, Avg Weekly Income: 1800, Revenue: $100.00 . Job URL: nan, Hot: 1, Hire Rate: 1, 4 week attrition rate: 1.","A suitable candidate for Licensed ACA Health Insurance Agent at Lifetime Health Solutions would likely have experience in health and aca verticals, with at least 6 months of high pressure phone sales experience and 6 months of experience in selling in the specified vertical. The role requires working in in_person setting with office hours from 9am-6pm m-f EST. Additional skills or certifications such as FFM, License, and Health Sherpa are preferred. The position is available in the following states: 1.0.","(26.404666, -80.076247)",26.404666,-80.076247
11,Synergy,Licensed ACA Health Insurance Agent,closed,health,aca,sales,"350 Camino Gardens Blvd #201, Boca Raton, FL 33432, USA",in_person,12,6,True,True,True,False,15.0,,28,9 am - 5 pm m-f  EST,$600.00 ,$0.00 ,,2200,$100.00 ,,0,1,1,,Boca Raton,"Licensed ACA Health Insurance Agent at Synergy, located at 350 Camino Gardens Blvd #201, Boca Raton, FL 33432, USA (). Status: closed. Vertical: health, Sub Vertical: aca. Functional Expertise: sales. Type: in_person. Min High Pressure Phone Sales Experience: 12 months, Min Experience in selling in specified vertical: 6 months. FFM: True, License: True, Health Sherpa: True. TLD Experience: False, States: 15.0, Required states: nan, Avg Age of current employees: 28 years, Office Hours: 9 am - 5 pm m-f EST. Weekly Base: $600.0 Draw: $0.0 Commission: nan, Avg Weekly Income: 2200, Revenue: $100.00 . Job URL: nan, Hot: 0, Hire Rate: 1, 4 week attrition rate: 1.","A suitable candidate for Licensed ACA Health Insurance Agent at Synergy would likely have experience in health and aca verticals, with at least 12 months of high pressure phone sales experience and 6 months of experience in selling in the specified vertical. The role requires working in in_person setting with office hours from 9 am - 5 pm m-f  EST. Additional skills or certifications such as FFM, License, and Health Sherpa are preferred. The position is available in the following states: 15.0.","(26.3407622, -80.0931873)",26.3407622,-80.0931873
12,Fortis Health Options,Licensed ACA Health Insurance Agent,on_hold,health,aca,sales,"350 Camino Gardens Blvd Suite 103, Boca Raton, FL 33432, USA",in_person,12,6,True,True,True,False,15.0,,35,"Monday to Friday, 9:00 AM - 6:00 PM EST",$0.00 ,$0.00 ,20-30 per member,2200,$150.00 ,,0,1,1,,Boca Raton,"Licensed ACA Health Insurance Agent at Fortis Health Options, located at 350 Camino Gardens Blvd Suite 103, Boca Raton, FL 33432, USA (). Status: on_hold. Vertical: health, Sub Vertical: aca. Functional Expertise: sales. Type: in_person. Min High Pressure Phone Sales Experience: 12 months, Min Experience in selling in specified vertical: 6 months. FFM: True, License: True, Health Sherpa: True. TLD Experience: False, States: 15.0, Required states: nan, Avg Age of current employees: 35 years, Office Hours: Monday to Friday, 9:00 AM - 6:00 PM EST. Weekly Base: $0.0 Draw: $0.0 Commission: 20-30 per member, Avg Weekly Income: 2200, Revenue: $150.00 . Job URL: nan, Hot: 0, Hire Rate: 1, 4 week attrition rate: 1.","A suitable candidate for Licensed ACA Health Insurance Agent at Fortis Health Options would likely have experience in health and aca verticals, with at least 12 months of high pressure phone sales experience and 6 months of experience in selling in the specified vertical. The role requires working in in_person setting with office hours from Monday to Friday, 9:00 AM - 6:00 PM EST. Additional skills or certifications such as FFM, License, and Health Sherpa are preferred. The position is available in the following states: 15.0.","(26.3407622, -80.0931873)",26.3407622,-80.0931873
13,Affordable Insurance Advisors,Health Insurance Sales Agent,closed,health,limited,sales,"23123 FL-7 350 B, Boca Raton, FL 33428, USA",in_person,24,6,False,False,False,False,,,38,"Monday to Friday, 9 am - 6 pm EST",$0.00 ,$500.00 ,,1300,$200.00 ,,0,1,1,,Boca Raton,"Health Insurance Sales Agent at Affordable Insurance Advisors, located at 23123 FL-7 350 B, Boca Raton, FL 33428, USA (). Status: closed. Vertical: health, Sub Vertical: limited. Functional Expertise: sales. Type: in_person. Min High Pressure Phone Sales Experience: 24 months, Min Experience in selling in specified vertical: 6 months. FFM: False, License: False, Health Sherpa: False. TLD Experience: False, States: nan, Required states: nan, Avg Age of current employees: 38 years, Office Hours: Monday to Friday, 9 am - 6 pm EST. Weekly Base: $0.0 Draw: $500.0 Commission: nan, Avg Weekly Income: 1300, Revenue: $200.00 . Job URL: nan, Hot: 0, Hire Rate: 1, 4 week attrition rate: 1.","A suitable candidate for Health Insurance Sales Agent at Affordable Insurance Advisors would likely have experience in health and limited verticals, with at least 24 months of high pressure phone sales experience and 6 months of experience in selling in the specified vertical. The role requires working in in_person setting with office hours from Monday to Friday, 9 am - 6 pm EST. Additional skills or certifications such as FFM, License, and Health Sherpa are preferred. The position is available in the following states: nan.","(26.348017, -80.218991)",26.348017,-80.218991
14,MAP Insurance,Health Insurance Sales Agent,open,health,limited,sales,"8000 N Federal Hwy, Boca Raton, FL 33487, USA",in_person,12,2,False,False,False,False,1.0,,32,"10 am to 6 pm, Monday to Friday EST",$0.00 ,$800.00 ,$20 per deal,1200,$120.00 ,https://worxwebsolutions.vincere-digital.io/job/health-insurance-sales-agent-35965,0,1,1,,Boca Raton,"Health Insurance Sales Agent at MAP Insurance, located at 8000 N Federal Hwy, Boca Raton, FL 33487, USA (). Status: open. Vertical: health, Sub Vertical: limited. Functional Expertise: sales. Type: in_person. Min High Pressure Phone Sales Experience: 12 months, Min Experience in selling in specified vertical: 2 months. FFM: False, License: False, Health Sherpa: False. TLD Experience: False, States: 1.0, Required states: nan, Avg Age of current employees: 32 years, Office Hours: 10 am to 6 pm, Monday to Friday EST. Weekly Base: $0.0 Draw: $800.0 Commission: $20 per deal, Avg Weekly Income: 1200, Revenue: $120.00 . Job URL: https://worxwebsolutions.vincere-digital.io/job/health-insurance-sales-agent-35965, Hot: 0, Hire Rate: 1, 4 week attrition rate: 1.","A suitable candidate for Health Insurance Sales Agent at MAP Insurance would likely have experience in health and limited verticals, with at least 12 months of high pressure phone sales experience and 2 months of experience in selling in the specified vertical. The role requires working in in_person setting with office hours from 10 am to 6 pm, Monday to Friday EST. Additional skills or certifications such as FFM, License, and Health Sherpa are preferred. The position is available in the following states: 1.0.","(26.3860037, -80.0765948)",26.3860037,-80.0765948
15,Healthie LLC,Health Insurance Sales Agent,closed,health,limited,sales,"7281 Lake Worth Rd, Lake Worth Beach, FL 33467, USA",in_person,12,3,False,False,False,False,,,35,"Open Enrollment - 9 AM to 9 PM, Outside Open Enrollment - 9 AM to 5 PM EST",$750.00 ,$500.00 ,"$1,500 - $2,000",1200,$200.00 ,,0,1,1,,Lake Worth Beach,"Health Insurance Sales Agent at Healthie LLC, located at 7281 Lake Worth Rd, Lake Worth Beach, FL 33467, USA (). Status: closed. Vertical: health, Sub Vertical: limited. Functional Expertise: sales. Type: in_person. Min High Pressure Phone Sales Experience: 12 months, Min Experience in selling in specified vertical: 3 months. FFM: False, License: False, Health Sherpa: False. TLD Experience: False, States: nan, Required states: nan, Avg Age of current employees: 35 years, Office Hours: Open Enrollment - 9 AM to 9 PM, Outside Open Enrollment - 9 AM to 5 PM EST. Weekly Base: $750.0 Draw: $500.0 Commission: $1,500 - $2,000, Avg Weekly Income: 1200, Revenue: $200.00 . Job URL: nan, Hot: 0, Hire Rate: 1, 4 week attrition rate: 1.","A suitable candidate for Health Insurance Sales Agent at Healthie LLC would likely have experience in health and limited verticals, with at least 12 months of high pressure phone sales experience and 3 months of experience in selling in the specified vertical. The role requires working in in_person setting with office hours from Open Enrollment - 9 AM to 9 PM, Outside Open Enrollment - 9 AM to 5 PM EST. Additional skills or certifications such as FFM, License, and Health Sherpa are preferred. The position is available in the following states: nan.","(26.6172018, -80.0806402)",26.6172018,-80.0806402
16,Evolved Insurance Agency,Licensed ACA Health Insurance Agent,closed,health,aca,sales,"500 Fairway Dr #206, Deerfield Beach, FL 33441, USA",in_person,12,12,False,True,False,False,0.0,"DE, FL, GA, LA, MI, NC, OH, OK, SC, TX",28,9am-9pm EST,$0.00 ,$500.00 ,10 per deal,2000,$100.00 ,,0,1,1,,Deerfield Beach,"Licensed ACA Health Insurance Agent at Evolved Insurance Agency, located at 500 Fairway Dr #206, Deerfield Beach, FL 33441, USA (). Status: closed. Vertical: health, Sub Vertical: aca. Functional Expertise: sales. Type: in_person. Min High Pressure Phone Sales Experience: 12 months, Min Experience in selling in specified vertical: 12 months. FFM: False, License: True, Health Sherpa: False. TLD Experience: False, States: 0.0, Required states: DE, FL, GA, LA, MI, NC, OH, OK, SC, TX, Avg Age of current employees: 28 years, Office Hours: 9am-9pm EST. Weekly Base: $0.0 Draw: $500.0 Commission: 10 per deal, Avg Weekly Income: 2000, Revenue: $100.00 . Job URL: nan, Hot: 0, Hire Rate: 1, 4 week attrition rate: 1.","A suitable candidate for Licensed ACA Health Insurance Agent at Evolved Insurance Agency would likely have experience in health and aca verticals, with at least 12 months of high pressure phone sales experience and 12 months of experience in selling in the specified vertical. The role requires working in in_person setting with office hours from 9am-9pm EST. Additional skills or certifications such as FFM, License, and Health Sherpa are preferred. The position is available in the following states: 0.0.","(26.3245273, -80.1147222)",26.3245273,-80.1147222
